q,eigen_plus,eigen_minus,plus_square_error,minus_square_error
0.0,0.0,-0.0,0.0,0.0
0.025210084033613446,0.15877683720748895,-0.15877683720748895,0.0,0.0
0.05042016806722689,0.22454435656953592,-0.22454435656953592,0.0,0.0
0.07563025210084034,0.2750095491084634,-0.2750095491084634,1.3877787807814457e-17,1.3877787807814457e-17
0.10084033613445378,0.3175536744149779,-0.3175536744149779,0.0,0.0
0.12605042016806722,0.35503580124836315,-0.35503580124836315,0.0,0.0
0.1512605042016807,0.38892223413129867,-0.38892223413129867,0.0,0.0
0.17647058823529413,0.42008402520840293,-0.42008402520840293,-2.7755575615628914e-17,-2.7755575615628914e-17
0.20168067226890757,0.44908871313907184,-0.44908871313907184,0.0,0.0
0.226890756302521,0.4763305116224668,-0.4763305116224668,-2.7755575615628914e-17,-2.7755575615628914e-17
0.25210084033613445,0.5020964452534338,-0.5020964452534338,0.0,0.0
0.2773109243697479,0.5266031944165814,-0.5266031944165814,-5.551115123125783e-17,-5.551115123125783e-17
0.3025210084033614,0.5500190982169268,-0.5500190982169268,5.551115123125783e-17,5.551115123125783e-17
0.3277310924369748,0.5724780279075999,-0.5724780279075999,0.0,0.0
0.35294117647058826,0.5940885257860046,-0.5940885257860046,-5.551115123125783e-17,-5.551115123125783e-17
0.37815126050420167,0.6149400462680908,-0.6149400462680908,5.551115123125783e-17,5.551115123125783e-17
0.40336134453781514,0.6351073488299558,-0.6351073488299558,0.0,0.0
0.4285714285714286,0.6546536707079772,-0.6546536707079772,5.551115123125783e-17,5.551115123125783e-17
0.453781512605042,0.6736330697086078,-0.6736330697086078,5.551115123125783e-17,5.551115123125783e-17
0.4789915966386555,0.6920921879624531,-0.6920921879624531,0.0,0.0
0.5042016806722689,0.7100716024967263,-0.7100716024967263,0.0,0.0
0.5294117647058824,0.7276068751089989,-0.7276068751089989,0.0,0.0
0.5546218487394958,0.7447293795329253,-0.7447293795329253,0.0,0.0
0.5798319327731093,0.7614669610515674,-0.7614669610515674,0.0,0.0
0.6050420168067228,0.7778444682625973,-0.7778444682625973,0.0,0.0
0.6302521008403361,0.7938841860374447,-0.7938841860374447,0.0,0.0
0.6554621848739496,0.8096061912275311,-0.8096061912275311,0.0,0.0
0.680672268907563,0.8250286473253902,-0.8250286473253902,0.0,0.0
0.7058823529411765,0.8401680504168059,-0.8401680504168059,-1.1102230246251565e-16,-1.1102230246251565e-16
0.73109243697479,0.8550394359178938,-0.8550394359178938,0.0,0.0
0.7563025210084033,0.8696565534786727,-0.8696565534786727,1.1102230246251565e-16,1.1102230246251565e-16
0.7815126050420168,0.8840320158467208,-0.8840320158467208,-1.1102230246251565e-16,-1.1102230246251565e-16
0.8067226890756303,0.8981774262781437,-0.8981774262781437,0.0,0.0
0.8319327731092437,0.9121034881575905,-0.9121034881575905,0.0,0.0
0.8571428571428572,0.9258200997725515,-0.9258200997725515,1.1102230246251565e-16,1.1102230246251565e-16
0.8823529411764706,0.9393364366277243,-0.9393364366277243,1.1102230246251565e-16,1.1102230246251565e-16
0.907563025210084,0.9526610232449336,-0.9526610232449336,-1.1102230246251565e-16,-1.1102230246251565e-16
0.9327731092436975,0.965801796044974,-0.965801796044974,0.0,0.0
0.957983193277311,0.9787661586289704,-0.9787661586289704,-1.1102230246251565e-16,-1.1102230246251565e-16
0.9831932773109244,0.9915610305527968,-0.9915610305527968,-1.1102230246251565e-16,-1.1102230246251565e-16
1.0084033613445378,1.0041928905068676,-1.0041928905068676,0.0,0.0
1.0336134453781514,1.0166678146662023,-1.0166678146662023,0.0,0.0
1.0588235294117647,1.0289915108550531,-1.0289915108550531,2.220446049250313e-16,2.220446049250313e-16
1.084033613445378,1.0411693490712153,-1.0411693490712153,0.0,0.0
1.1092436974789917,1.0532063888331629,-1.0532063888331629,-2.220446049250313e-16,-2.220446049250313e-16
1.134453781512605,1.0651074037450894,-1.0651074037450894,-2.220446049250313e-16,-2.220446049250313e-16
1.1596638655462186,1.076876903618152,-1.076876903618152,0.0,0.0
1.184873949579832,1.0885191544386492,-1.0885191544386492,0.0,0.0
1.2100840336134455,1.1000381964338537,-1.1000381964338537,2.220446049250313e-16,2.220446049250313e-16
1.2352941176470589,1.1114378604524227,-1.1114378604524227,0.0,0.0
1.2605042016806722,1.1227217828476797,-1.1227217828476797,0.0,0.0
1.2857142857142858,1.1338934190276817,-1.1338934190276817,0.0,0.0
1.3109243697478992,1.1449560558151999,-1.1449560558151999,0.0,0.0
1.3361344537815127,1.1559128227429232,-1.1559128227429232,-2.220446049250313e-16,-2.220446049250313e-16
1.361344537815126,1.166766702393896,-1.166766702393896,0.0,0.0
1.3865546218487395,1.1775205398840138,-1.1775205398840138,0.0,0.0
1.411764705882353,1.1881770515720091,-1.1881770515720091,-2.220446049250313e-16,-2.220446049250313e-16
1.4369747899159664,1.198738833072478,-1.198738833072478,-2.220446049250313e-16,-2.220446049250313e-16
1.46218487394958,1.2092083666389264,-1.2092083666389264,2.220446049250313e-16,2.220446049250313e-16
1.4873949579831933,1.21958802797633,-1.21958802797633,2.220446049250313e-16,2.220446049250313e-16
1.5126050420168067,1.2298800925361817,-1.2298800925361817,2.220446049250313e-16,2.220446049250313e-16
1.5378151260504203,1.2400867413412742,-1.2400867413412742,0.0,0.0
1.5630252100840336,1.2502100663824594,-1.2502100663824594,-2.220446049250313e-16,-2.220446049250313e-16
1.5882352941176472,1.260252075625209,-1.260252075625209,0.0,0.0
1.6134453781512605,1.2702146976599116,-1.2702146976599116,0.0,0.0
1.638655462184874,1.2800997860264152,-1.2800997860264152,0.0,0.0
1.6638655462184875,1.2899091232402722,-1.2899091232402722,2.220446049250313e-16,2.220446049250313e-16
1.6890756302521008,1.2996444245454604,-1.2996444245454604,0.0,0.0
1.7142857142857144,1.3093073414159544,-1.3093073414159544,2.220446049250313e-16,2.220446049250313e-16
