a,b,c,left,right,difference,zero
1,1,1,1,1,0,True
1,1,H,H,H,0,True
1,H,1,H,H,0,True
1,H,H,q,q,0,True
H,1,1,H,H,0,True
H,1,H,q,q,0,True
H,H,1,q,q,0,True
H,H,H,q H,q H,0,True
