space,cells,boundary,H0,feature,chi
S1,"c0=1,c1=1",0,Z,H1=Z,0
S2,"c0=1,c2=1",0,Z,H2=Z,2
RP2,c0=c1=c2=1,d2=2,Z,H1=Z/2,1
"Moore M(Z/3,1)","c0=1,c1=1,c2=1",d2=3,Z,H1=Z/3,1
