n,target_real,target_imag,root_power_max_residual,angle_spacing_spread,edge_length_spread,root_radius
3,0.7641242075048971,0.7912737803725164,2.7487830685268716e-15,8.881784197001252e-16,8.881784197001252e-16,1.0322801154563672
4,0.6619965254672533,0.8784990610520221,1.4130832128153977e-15,1.1102230246251565e-15,6.661338147750939e-16,1.0241136890844451
5,0.5500000000000002,0.9526279441628825,2.0471501066083613e-15,1.3322676295501878e-15,4.440892098500626e-16,1.0192448764914566
6,0.4298042413382011,1.0125553387976844,3.0369216844827586e-15,8.881784197001252e-16,8.881784197001252e-16,1.0160118677733874
7,0.3032010913986991,1.057387865532151,8.326672684688674e-16,8.881784197001252e-16,2.220446049250313e-16,1.0137088562954681
8,0.17207791154425403,1.0864571746546516,8.496108186436517e-16,1.3322676295501878e-15,1.1102230246251565e-16,1.0119850241403996
