level,x_left,y_bottom,side_length,diameter,contains_target
0,0.0,0.0,1.0,1.4142135623730951,True
1,0.5,0.0,0.5,0.7071067811865476,True
2,0.5,0.25,0.25,0.3535533905932738,True
3,0.625,0.25,0.125,0.1767766952966369,True
4,0.625,0.3125,0.0625,0.08838834764831845,True
5,0.65625,0.34375,0.03125,0.04419417382415922,True
6,0.671875,0.359375,0.015625,0.02209708691207961,True
7,0.6796875,0.3671875,0.0078125,0.011048543456039806,True
