diagnostic,value
concho_tangent_angle_std_degrees,1.4933853570482252e-13
concho_kappa_tau_ratio_std,8.829168909590232e-10
concho_cone_ratio_z_over_radius_mean,1.5151515151515154
concho_cone_ratio_z_over_radius_std,3.006498163255289e-16
