x1,x2,x3,x4,norm
-1.0,-1.0,0.0,0.0,1.4142135623730951
-1.0,1.0,0.0,0.0,1.4142135623730951
1.0,-1.0,0.0,0.0,1.4142135623730951
1.0,1.0,0.0,0.0,1.4142135623730951
-1.0,0.0,-1.0,0.0,1.4142135623730951
-1.0,0.0,1.0,0.0,1.4142135623730951
1.0,0.0,-1.0,0.0,1.4142135623730951
1.0,0.0,1.0,0.0,1.4142135623730951
-1.0,0.0,0.0,-1.0,1.4142135623730951
-1.0,0.0,0.0,1.0,1.4142135623730951
1.0,0.0,0.0,-1.0,1.4142135623730951
1.0,0.0,0.0,1.0,1.4142135623730951
0.0,-1.0,-1.0,0.0,1.4142135623730951
0.0,-1.0,1.0,0.0,1.4142135623730951
0.0,1.0,-1.0,0.0,1.4142135623730951
0.0,1.0,1.0,0.0,1.4142135623730951
0.0,-1.0,0.0,-1.0,1.4142135623730951
0.0,-1.0,0.0,1.0,1.4142135623730951
0.0,1.0,0.0,-1.0,1.4142135623730951
0.0,1.0,0.0,1.0,1.4142135623730951
0.0,0.0,-1.0,-1.0,1.4142135623730951
0.0,0.0,-1.0,1.0,1.4142135623730951
0.0,0.0,1.0,-1.0,1.4142135623730951
0.0,0.0,1.0,1.0,1.4142135623730951
