w_level,section_scale,normalized_volume
-0.95,0.050000000000000044,0.00012500000000000033
-0.8999999999999999,0.10000000000000009,0.0010000000000000026
-0.85,0.15000000000000002,0.0033750000000000017
-0.7999999999999999,0.20000000000000007,0.008000000000000009
-0.75,0.25,0.015625
-0.7,0.30000000000000004,0.027000000000000014
-0.6499999999999999,0.3500000000000001,0.04287500000000003
-0.6,0.4,0.06400000000000002
-0.55,0.44999999999999996,0.09112499999999997
-0.5,0.5,0.125
-0.45,0.55,0.16637500000000005
-0.4,0.6,0.21599999999999997
-0.35,0.65,0.274625
-0.30000000000000004,0.7,0.3429999999999999
-0.25,0.75,0.421875
-0.20000000000000007,0.7999999999999999,0.5119999999999999
-0.15000000000000002,0.85,0.6141249999999999
-0.09999999999999998,0.9,0.7290000000000001
-0.050000000000000044,0.95,0.8573749999999999
0.0,1.0,1.0
0.04999999999999993,0.9500000000000001,0.8573750000000002
0.09999999999999987,0.9000000000000001,0.7290000000000003
0.1499999999999999,0.8500000000000001,0.6141250000000001
0.19999999999999996,0.8,0.5120000000000001
0.25,0.75,0.421875
0.30000000000000004,0.7,0.3429999999999999
0.34999999999999987,0.6500000000000001,0.2746250000000002
0.3999999999999999,0.6000000000000001,0.2160000000000001
0.44999999999999996,0.55,0.16637500000000005
0.5,0.5,0.125
0.5499999999999998,0.4500000000000002,0.09112500000000011
0.5999999999999999,0.40000000000000013,0.06400000000000007
0.6499999999999999,0.3500000000000001,0.04287500000000003
0.7,0.30000000000000004,0.027000000000000014
0.75,0.25,0.015625
0.7999999999999998,0.20000000000000018,0.008000000000000021
0.8499999999999999,0.15000000000000013,0.003375000000000009
0.8999999999999999,0.10000000000000009,0.0010000000000000026
0.95,0.050000000000000044,0.00012500000000000033
