R_x,R_y,ratio_PQ_over_angle_R,ratio_QR_over_angle_P,ratio_RP_over_angle_Q,spread,t
-0.24,0.34,-1.771868112825555,-1.771868112825555,-1.7718681128255547,2.220446049250313e-16,0.0
-0.19333333333333333,0.39658742811845377,-1.8274196880390507,-1.8274196880390516,-1.8274196880390507,8.881784197001252e-16,0.08333333333333333
-0.14666666666666667,0.45,-1.9098938792258866,-1.909893879225887,-1.9098938792258868,4.440892098500626e-16,0.16666666666666666
-0.09999999999999998,0.49727922061357854,-2.010259377023279,-2.010259377023279,-2.010259377023278,8.881784197001252e-16,0.25
-0.053333333333333316,0.5358845726811989,-2.114607380125154,-2.1146073801251553,-2.1146073801251544,1.3322676295501878e-15,0.3333333333333333
-0.006666666666666654,0.5638666487320323,-2.204539419681787,-2.2045394196817885,-2.204539419681788,1.3322676295501878e-15,0.41666666666666663
0.040000000000000036,0.5800000000000001,-2.261090050499306,-2.2610900504993072,-2.2610900504993072,1.3322676295501878e-15,0.5
0.08666666666666667,0.5838666487320323,-2.2712338069403866,-2.271233806940388,-2.2712338069403866,1.3322676295501878e-15,0.5833333333333333
0.13333333333333336,0.575884572681199,-2.233472741263557,-2.2334727412635584,-2.2334727412635584,1.3322676295501878e-15,0.6666666666666666
0.18000000000000005,0.5572792206135786,-2.1585371188354663,-2.1585371188354663,-2.158537118835466,4.440892098500626e-16,0.75
0.22666666666666668,0.53,-2.064694511740172,-2.0646945117401736,-2.0646945117401723,1.7763568394002505e-15,0.8333333333333333
0.2733333333333333,0.4965874281184538,-1.9711848022962288,-1.9711848022962284,-1.9711848022962288,4.440892098500626e-16,0.9166666666666666
0.32000000000000006,0.46,-1.8937232486299136,-1.8937232486299154,-1.893723248629914,1.7763568394002505e-15,1.0
