concept,artifact
Some,some-simple-knot-invariants-initial-model.png
Simple,some-simple-knot-invariants-initial-model.png
Knot,some-simple-knot-invariants-initial-model.png
Invariants,some-simple-knot-invariants-initial-model.png
Stick,some-simple-knot-invariants-initial-model.png
Number,some-simple-knot-invariants-initial-model.png
Crossing,some-simple-knot-invariants-initial-model.png
