chart,domain,inverse_point
north stereographic coordinate t,S1 minus north pole,"(2t/(1+t^2), (t^2-1)/(1+t^2))"
south stereographic coordinate s,S1 minus south pole,"(2s/(1+s^2), (1-s^2)/(1+s^2))"
transition,overlap t != 0,s = 1/t
