degree_d,point_constraints_m,offset_from_3d_minus_1,expected_real_dimension
1,1,-1,2
1,2,0,0
1,3,1,-2
2,4,-1,2
2,5,0,0
2,6,1,-2
3,7,-1,2
3,8,0,0
3,9,1,-2
4,10,-1,2
4,11,0,0
4,12,1,-2
5,13,-1,2
5,14,0,0
5,15,1,-2
6,16,-1,2
6,17,0,0
6,18,1,-2
7,19,-1,2
7,20,0,0
7,21,1,-2
