pitch,min_density,max_density,area
0.25,0.25,1.4221462653327892,13.461672836344516
0.55,0.55,1.5041608956491324,16.393959290734564
0.95,0.95,1.691892431568863,21.574375893014548
1.35,1.35,1.9448650338776723,27.497763216652174
