nu,nv,vertices,faces,mesh_area,relative_error,euler_number,is_watertight
16,8,128,256,27.25809275468846,0.041033950785532555,0,True
24,12,288,576,27.900961457209377,0.018417208470937647,0,True
36,18,648,1296,28.190775861886806,0.008221257596452716,0,True
56,28,1568,3136,28.327688536453536,0.0034045373732793497,0,True
80,40,3200,6400,28.3770073638694,0.001669453356047595,0,True
