cover_parameter_d,covering_model,induced_subgroup,sheet_count,liftable_degrees_from_-6_to_6
0,universal cover R -> S^1,{0},countably infinite,[0]
1,p_1:S^1 -> S^1,1Z,1,"[-6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6]"
2,p_2:S^1 -> S^1,2Z,2,"[-6, -4, -2, 0, 2, 4, 6]"
3,p_3:S^1 -> S^1,3Z,3,"[-6, -3, 0, 3, 6]"
4,p_4:S^1 -> S^1,4Z,4,"[-4, 0, 4]"
5,p_5:S^1 -> S^1,5Z,5,"[-5, 0, 5]"
6,p_6:S^1 -> S^1,6Z,6,"[-6, 0, 6]"
