source_section,category,artifact
9.1,Bibliographies and FAQs,source-ecosystem-graph.png
9.2,Textbooks,source-topic-matrix.png
9.3,Book Collections,source-timeline.png
9.4,Monographs,source-topic-matrix.png
9.5,Journals,source-ecosystem-graph.png
9.6,Conference Proceedings,source-timeline.png
9.7,Software,software-resource-ledger.png
