concept,artifact
Curvature,curvature-initial-model.png
Tensor,curvature-initial-model.png
Flat,curvature-initial-model.png
Symmetries,curvature-initial-model.png
Ricci,curvature-initial-model.png
Identities,curvature-initial-model.png
Scalar,curvature-initial-model.png
