solid,V,E,F,V_minus_E_plus_F,face_degrees,vertex_config,dual,edge_length_spread,trimesh_euler,trimesh_watertight
tetrahedron,4,6,4,2,[3],"(3, 3, 3)",tetrahedron,0.0,2,True
cube,8,12,6,2,[4],"(4, 4, 4)",octahedron,0.0,2,True
octahedron,6,12,8,2,[3],"(3, 3, 3, 3)",cube,0.0,2,True
dodecahedron,20,30,12,2,[5],"(5, 5, 5)",icosahedron,2.220446049250313e-16,2,True
icosahedron,12,30,20,2,[3],"(3, 3, 3, 3, 3)",dodecahedron,0.0,2,True
