solid,rotation_group,rotation_order,full_symmetry_order,expected_rotation_order
tetrahedron,T ~= A4,12,24,12
cube,O ~= S4,24,48,24
octahedron,O ~= S4,24,48,24
dodecahedron,I ~= A5,60,120,60
icosahedron,I ~= A5,60,120,60
