solid,element_order,rotation_count
tetrahedron,1,1
tetrahedron,2,3
tetrahedron,3,8
cube,1,1
cube,2,9
cube,3,8
cube,4,6
octahedron,1,1
octahedron,2,9
octahedron,3,8
octahedron,4,6
dodecahedron,1,1
dodecahedron,2,15
dodecahedron,3,20
dodecahedron,5,24
icosahedron,1,1
icosahedron,2,15
icosahedron,3,20
icosahedron,5,24
