p_gon,q_around_vertex,solid,angle_sum_over_pi,defect_over_pi,total_defect_over_pi
3,3,tetrahedron,1.0,1.0,4.0
3,4,octahedron,1.3333333333333333,0.6666666666666667,4.000000000000001
3,5,icosahedron,1.6666666666666667,0.33333333333333354,4.000000000000003
4,3,cube,1.5,0.5,4.0
5,3,dodecahedron,1.8,0.2,4.0
