solid,V,E,F,Euler,face_degree_counts,vertex_configurations,edge_length_spread,trimesh_watertight
truncated tetrahedron,12,18,8,2,"{3: np.int64(4), 6: np.int64(4)}","{(3, 6, 6): np.int64(12)}",2.220446049250313e-16,True
cuboctahedron,12,24,14,2,"{3: np.int64(8), 4: np.int64(6)}","{(3, 3, 4, 4): np.int64(12)}",0.0,True
