curve,closed_gap,boundary_simple,polygon_valid,area,length,Q_4piA_over_L2,roundness_deficit,convexity_area_ratio,total_turn_over_2pi,vertex_count_detected,curvature_min,curvature_max
circle,0.0,True,True,3.1415862737013587,6.2831821172339115,0.9999989846083945,1.015392636416479e-06,0.9999999999999988,1.0000000000000002,0,1.0000030461619827,1.0000030462038796
convex support oval,0.0,True,True,3.071999253496432,6.283182117236997,0.9778487256349615,0.02265306870513606,1.0000000000000009,1.0,6,0.6090745364905443,2.7920581484174716
ellipse,0.0,True,True,3.769903528441632,7.6262495608030445,0.8145506129584352,0.22767079674523294,1.0000000000000007,0.9999999999999999,4,0.29296964243866763,2.844453109129965
simple radial ripple,0.0,True,True,3.232050178194343,8.162048114186252,0.6096627455854853,0.6402511179187389,0.8175801787920064,1.0000000000000002,10,-9.069775189158323,4.708671328427459
self-crossing limacon,0.0,False,False,6.0043393246342145,9.692851627365501,0.8031043198554533,0.24516824935020254,0.9994244993105216,2.0,2,0.6699916605242303,13.878178393568035
