model,sample_formula,result_multiple,sectional_numerator_sign,interpretation
sphere S^2 = SO(3)/SO(2),"-[[Ax,Ay],Ay]","Matrix([[0, 0, 0], [0, 0, -1], [0, 1, 0]])",2,positive
"hyperbolic plane = SL(2,R)/SO(2)","-[[P1,P2],P2]","Matrix([[-4, 0], [0, 4]])",-8,negative
