alpha_radians,subspace,triple_bracket_residual_norm,geodesic_radius_max_error
0.0,span(cos(alpha) Ax + sin(alpha) Ay),0.0,2.220446049250313e-16
0.628319,span(cos(alpha) Ax + sin(alpha) Ay),0.0,2.220446049250313e-16
1.256637,span(cos(alpha) Ax + sin(alpha) Ay),0.0,4.440892098500626e-16
