radius,compact_sin_r_over_r,flat,noncompact_sinh_r_over_r
0.25,0.989616,1.0,1.010449
0.75,0.908852,1.0,1.096422
1.5,0.664997,1.0,1.41952
2.5,0.239389,1.0,2.420082
