pdf_start,printed_start,section
309,294,Riemann-Roch Theorem
314,299,Hurwitz's Theorem
322,307,Embeddings in Projective Space
331,316,Elliptic Curves
355,340,The Canonical Embedding
364,349,Classification of Curves in P^3
