surface,E,F,G,H,K,sigma_uu_plus_sigma_vv
catenoid,cosh(u)**2,0,cosh(u)**2,0,-1/cosh(u)**4,"Matrix([[0], [0], [0]])"
helicoid,cosh(u)**2,0,cosh(u)**2,0,-1/cosh(u)**4,"Matrix([[0], [0], [0]])"
