fraction,x,y,visible
0/1,1,0,True
1/6,6,1,True
1/5,5,1,True
1/4,4,1,True
1/3,3,1,True
2/5,5,2,True
1/2,2,1,True
3/5,5,3,True
2/3,3,2,True
3/4,4,3,True
4/5,5,4,True
5/6,6,5,True
1/1,1,1,True
PICK,9,16,True
