x,y,z,N,visible
-1,-1,2,-1,True
-1,0,0,-1,True
-1,0,1,0,True
-1,0,2,1,True
-1,1,-1,0,True
-1,1,0,1,True
-1,1,1,2,True
-1,2,-1,2,True
0,-1,1,-1,True
0,-1,2,0,True
0,0,-1,-1,True
0,0,0,0,False
0,0,1,1,True
0,0,2,2,False
0,1,-1,1,True
0,1,0,2,True
1,-1,0,-1,True
1,-1,1,0,True
1,-1,2,1,True
1,0,-1,0,True
1,0,0,1,True
1,0,1,2,True
1,1,-1,2,True
2,-1,-1,-1,True
2,-1,0,0,True
2,-1,1,1,True
2,-1,2,2,True
2,0,-1,1,True
2,0,0,2,False
