p,ladder_steps,critical_q_for_r_gt_2,terminal_r,terminal_q
2.2,10,21.999999999999982,2.000000000000002,22.000000000000245
2.4,6,12.000000000000002,2.0307692307692307,13.200000000000003
2.6,4,8.666666666666666,2.363636363636364,26.000000000000057
3.0,3,6.0,2.0624999999999996,6.6000000000000005
4.0,2,4.0,2.0952380952380953,4.4
6.0,1,3.0,3.0,6.0
