type,roots,rank_n_sample,formula_count,sample_count
A_n,"e_i-e_j, i != j",2,n(n+1),6
B_n,+-e_i and +-e_i+-e_j,2,2n^2,8
C_n,+-2e_i and +-e_i+-e_j,2,2n^2,8
D_n,+-e_i+-e_j,4,2n(n-1),24
