alpha,beta,alpha_plus_beta,bracket_nonzero,rule_ok
e1-e2,e2-e3,e1-e3,True,True
e1-e2,e2-e1,"(0, 0, 0)",True,True
e1-e2,e3-e1,e3-e2,True,True
e2-e3,e3-e2,"(0, 0, 0)",True,True
e2-e3,e3-e1,e2-e1,True,True
e1-e3,e2-e1,e2-e3,True,True
e1-e3,e3-e2,e1-e2,True,True
e1-e3,e3-e1,"(0, 0, 0)",True,True
e2-e1,e3-e2,e3-e1,True,True
