mesh,mesh_vertices,mesh_edges,mesh_faces,mesh_euler_number,watertight
tetrahedron,4,6,4,2,True
cube triangulation,8,18,12,2,True
octahedron,6,12,8,2,True
icosahedron,12,30,20,2,True
