solid,vertices,edges,faces,face_type,euler_characteristic
tetrahedron,4,6,4,triangle,2
cube,8,12,6,square,2
octahedron,6,12,8,triangle,2
dodecahedron,20,30,12,pentagon,2
icosahedron,12,30,20,triangle,2
