n,phi_n,power_of_two_degree,factorization
3,2,True,{3: 1}
4,2,True,{2: 2}
5,4,True,{5: 1}
6,2,True,"{2: 1, 3: 1}"
7,6,False,{7: 1}
8,4,True,{2: 3}
9,6,False,{3: 2}
10,4,True,"{2: 1, 5: 1}"
12,4,True,"{2: 2, 3: 1}"
15,8,True,"{3: 1, 5: 1}"
16,8,True,{2: 4}
17,16,True,{17: 1}
20,8,True,"{2: 2, 5: 1}"
24,8,True,"{2: 3, 3: 1}"
