point,l_ABD,l_ACE,l_BCF,l_AGF,l_BEG,l_CDG,l_DEF,lines_through_point,incident_lines,duality_note
A,1,1,0,1,0,0,0,3,l_ABD l_ACE l_AGF,row count equals three; transposing this table swaps points and lines
B,1,0,1,0,1,0,0,3,l_ABD l_BCF l_BEG,row count equals three; transposing this table swaps points and lines
C,0,1,1,0,0,1,0,3,l_ACE l_BCF l_CDG,row count equals three; transposing this table swaps points and lines
D,1,0,0,0,0,1,1,3,l_ABD l_CDG l_DEF,row count equals three; transposing this table swaps points and lines
E,0,1,0,0,1,0,1,3,l_ACE l_BEG l_DEF,row count equals three; transposing this table swaps points and lines
F,0,0,1,1,0,0,1,3,l_BCF l_AGF l_DEF,row count equals three; transposing this table swaps points and lines
G,0,0,0,1,1,1,0,3,l_AGF l_BEG l_CDG,row count equals three; transposing this table swaps points and lines
