rule,homogeneity_residual,triangle_slack,zero_vector_norm,passes_norm_sample
L1,0.0,0.6999999999999997,0.0,True
L2,0.0,0.6115963742559818,0.0,True
Linf,0.0,0.5999999999999996,0.0,True
p=1/2 quasi-norm,1.7763568394002505e-15,-2.0,0.0,False
