t,C_x,C_y,O_x,O_y,G_x,G_y,H_x,H_y,N_x,N_y,euler_area_error,euler_vector_error,nine_point_error
0.0,2.6500000000000004,0.25,0.22001312335958015,0.2709317585301838,0.20000000000000004,1.0,0.1599737532808398,2.4581364829396324,0.18999343832020998,1.3645341207349082,2.0816681711721685e-17,2.7755575615628914e-17,4.440892098500626e-16
0.08726646259971647,2.64790708395046,0.28660541195401645,0.2188963254804771,0.27192212646070857,0.1993023613168199,1.012201803984672,0.16011443298950545,2.4927611590325993,0.18950537923499128,1.382341642746654,0.0,2.220446049250313e-16,4.440892098500626e-16
0.17453292519943295,2.6416442641567146,0.3229322346201107,0.2158526698194934,0.2746212173298832,0.1972147547189048,1.0243107448733701,0.15993892451772757,2.5236897999603443,0.1878957971686105,1.3991555086451137,2.0816681711721685e-17,2.237726045655905e-16,2.220446049250313e-16
0.2617993877991494,2.6312592044589875,0.3587039989430587,0.21085649389552114,0.2790517884322737,0.19375306815299576,1.036234666314353,0.159546216667945,2.5506004220785115,0.18520135528173307,1.4148261052553925,0.0,0.0,2.220446049250313e-16
0.3490658503988659,2.6168309414322497,0.39364846019678085,0.20389205267678745,0.2852278023432263,0.18894364714408315,1.0478828200655936,0.15904683607867454,2.573192855510328,0.181469444377731,1.4292103289267772,2.7755575615628914e-17,2.237726045655905e-16,2.220446049250313e-16
0.4363323129985824,2.5984692828701577,0.4274996699310938,0.1949546658355651,0.2931534095420462,0.18282309429005247,1.0591665566436979,0.15855995119902722,2.5911928508470012,0.17675730851729615,1.4421731301945238,1.734723475976807e-17,2.237726045655905e-16,2.220446049250313e-16
0.5235987755982988,2.5763139720814414,0.45999999999999996,0.1840519455076411,0.30282185964416725,0.17543799069381372,1.07,0.15821008106615897,2.6043562807116656,0.17113101328690003,1.4535890701779164,3.469446951953614e-18,2.220446049250313e-16,2.220446049250313e-16
0.6108652381980153,2.5505336243589456,0.4909021032674393,0.17120509359225947,0.31421435096535466,0.16684454145298178,1.0803007010891463,0.1581234371744264,2.6124734013367297,0.16466426538334294,1.4633438761510422,0.0,0.0,2.220446049250313e-16
0.6981317007977318,2.521324443715438,0.5199707960683464,0.15645025141180793,0.32729883365367995,0.15710814790514593,1.0899902653561153,0.15842394089182193,2.6153731287609863,0.15743709615181495,1.471335981207333,4.336808689942018e-19,2.220446049250313e-16,1.3322676295501878e-15
0.7853981633974483,2.4889087296526013,0.5469848480983499,0.1398398767333806,0.34202878855719065,0.14630290988420036,1.0989949493661166,0.15922897618583987,2.6129272709839686,0.14953442645961024,1.4774780297705796,0.0,0.0,8.881784197001252e-16
0.8726646259971648,2.453533185327597,0.5717386661099708,0.12144411372360799,0.3583420123583098,0.13451106177586558,1.1072462220366568,0.16064495788038077,2.605054641393351,0.1410445358019944,1.4816983268758304,3.469446951953614e-18,2.220446049250313e-16,2.220446049250313e-16
0.9599310885968813,2.4154670399930755,0.5940438586013765,0.10135211049761188,0.37615944918136307,0.12182234666435843,1.114681286200459,0.16276281899785153,2.5917249602386505,0.1320574647477317,1.4839422047100068,0.0,0.0,2.220446049250313e-16
1.0471975511965976,2.375,0.6137306695894642,0.07967322686949516,0.39538411956856095,0.10833333333333324,1.1212435565298213,0.16565354626100942,2.572962430452342,0.12266338656525229,1.4841732750104515,6.938893903907228e-18,2.2247786310271853e-16,2.220446049250313e-16
1.1344640137963142,2.332440043957385,0.630649270555393,0.056538062313416,0.4159002088918763,0.09414668131912822,1.126883090185131,0.16936391933055264,2.5488488527716404,0.11295099082198432,1.4823745308317584,0.0,1.3877787807814457e-17,4.440892098500626e-16
1.2217304763960306,2.288111078829118,0.6446709007300815,0.03209922191045507,0.4375723881171435,0.07937035960970595,1.1315569669100272,0.17391263500820772,2.519526124495794,0.1030059284593314,1.4785492563064688,1.3877787807814457e-17,4.440892098500626e-16,4.440892098500626e-16
1.3089969389957472,2.2423504748063863,0.6556888470414086,0.00653172743794668,0.46024544925314154,0.064116824935462,1.1352296156804695,0.17928701993049265,2.4851979485351254,0.09290937368421967,1.4727216988941334,2.7755575615628914e-17,0.0,2.220446049250313e-16
1.3962634015954636,2.1955064977168117,0.6636192562651273,-0.01996702666147502,0.48374434439791175,0.04850216590560382,1.137873085421709,0.18544055103976148,2.4461305674693037,0.08273676218914323,1.4649374559336077,2.7755575615628914e-17,2.237726045655905e-16,4.440892098500626e-16
1.48352986419518,2.147935658511212,0.6684017731985331,-0.0471778750625277,0.5078747193950717,0.0326452195037373,1.1394672577328444,0.19229140863626729,2.4026523344083897,0.07255676678686979,1.4552635269017307,2.7755575615628914e-17,2.220446049250313e-16,2.220446049250313e-16
1.5707963267948966,2.1,0.6699999999999999,-0.07486113906218562,0.5324240289796742,0.016666666666666607,1.14,0.19972227812437107,2.3551519420406515,0.062430569531092724,1.4437879855101627,0.0,2.220446049250313e-16,4.440892098500626e-16
1.658062789394613,2.052064341488788,0.6684017731985331,-0.10275862420838791,0.5571633082602683,0.0006881138295959192,1.1394672577328444,0.20758158990556358,2.3040751566779964,0.052411482848587834,1.4306192324691325,2.7755575615628914e-17,2.220446049250313e-16,6.661338147750939e-16
1.7453292519943295,2.0044935022831885,0.6636192562651273,-0.1305964185101158,0.5818496541504798,-0.015168832572270604,1.137873085421709,0.2156863393034198,2.2499199479641674,0.042544960396651996,1.4158848010573237,5.551115123125783e-17,2.220446049250313e-16,4.440892098500626e-16
1.832595714594046,1.9576495251936137,0.6556888470414086,-0.1580885166851069,0.6062294393245287,-0.03078349160212886,1.1352296156804695,0.22382655856382722,2.1932299683923513,0.03286902093936016,1.39972970385844,0.0,0.0,2.220446049250313e-16
1.9198621771937625,1.9118889211708823,0.6446709007300815,-0.1849412503294323,0.6300422408581756,-0.04603702627637266,1.1315569669100272,0.23177142182974658,2.13458641901373,0.023415085750157147,1.3823143299359528,0.0,2.220446049250313e-16,2.220446049250313e-16
2.007128639793479,1.8675599560426155,0.630649270555393,-0.21085844972578785,0.6530254176813591,-0.06081334798579493,1.126883090185131,0.23927685549419092,2.0745984351926747,0.014209202884201536,1.363811926437017,5.551115123125783e-17,0.0,4.440892098500626e-16
2.0943951023931953,1.8250000000000002,0.6137306695894642,-0.23554720387126846,0.6749192185273513,-0.07500000000000002,1.1212435565298213,0.24609440774253682,2.0138922325347615,0.005273601935634184,1.3444057255310564,2.7755575615628914e-17,0.0,4.440892098500626e-16
2.1816615649929116,1.7845329600069249,0.5940438586013767,-0.25872402638934844,0.6954722498169694,-0.08848901333102514,1.114681286200459,0.25198101278562146,1.953099358967438,-0.0033715068018634886,1.3242858043922037,2.7755575615628914e-17,5.551115123125783e-17,2.220446049250313e-16
2.2689280275926285,1.7464668146724034,0.5717386661099708,-0.2801211826395389,0.7144470864916664,-0.1011777284425323,1.1072462220366568,0.2567091799514809,1.8928444931266377,-0.011706001344028993,1.303645789809152,2.7755575615628914e-17,2.2887833992611187e-16,2.220446049250313e-16
2.356194490192345,1.7110912703473988,0.5469848480983499,-0.2994928943198841,0.731625774208199,-0.11296957655086715,1.0989949493661166,0.2600770589871667,1.833733299681952,-0.019707917666358682,1.2826795369450754,0.0,0.0,4.440892098500626e-16
2.443460952792061,1.678675556284562,0.5199707960683466,-0.3166211183753828,0.7468149540309998,-0.12377481457181272,1.0899902653561155,0.2619177930353275,1.776340888006347,-0.02735166267002767,1.2615779210186733,2.7755575615628914e-17,0.0,4.440892098500626e-16
2.5307274153917776,1.6494663756410546,0.49090210326743944,-0.33132060162882276,0.7598503448406541,-0.13351120811964856,1.0803007010891463,0.26210757889869984,1.721201413586131,-0.03460651136506146,1.2405258792133926,5.551115123125783e-17,2.220446049250313e-16,2.220446049250313e-16
2.6179938779914944,1.6236860279185588,0.45999999999999996,-0.34344294316276625,0.7706003458235848,-0.1421046573604805,1.07,0.260571914244091,1.6687993083528303,-0.04143551445933763,1.2196998270882076,5.551115123125783e-17,2.220446049250313e-16,2.220446049250313e-16
2.705260340591211,1.6015307171298425,0.4274996699310938,-0.35287945177821106,0.7789685704448286,-0.14948976095671926,1.0591665566436979,0.2572896206862644,1.6195625290414366,-0.04779491554597334,1.1992655497431326,2.7755575615628914e-17,2.2887833992611187e-16,1.1102230246251565e-16
2.792526803190927,1.5831690585677505,0.3936484601967809,-0.3595626611775592,0.7848951901008543,-0.15561031381074994,1.0478828200655936,0.2522943809228686,1.5738580799950723,-0.0536341401273453,1.1793766350479633,0.0,5.551115123125783e-17,1.1102230246251565e-16
2.8797932657906435,1.5687407955410126,0.3587039989430588,-0.36346645339514766,0.7883570435768289,-0.16041973481966254,1.036234666314353,0.2456737023313077,1.531989911789401,-0.05889637553191998,1.160173477683115,0.0,0.0,2.220446049250313e-16
2.96705972839036,1.5583557358432856,0.3229322346201109,-0.36460483220743345,0.7893665493160258,-0.16388142138557157,1.0243107448733701,0.2375654002581522,1.494199135988059,-0.06351971597464062,1.1417828426520424,2.7755575615628914e-17,2.2887833992611187e-16,2.220446049250313e-16
3.0543261909900767,1.55209291604954,0.28660541195401645,-0.36302947323024115,0.7879695328645534,-0.16596902798348676,1.012201803984672,0.22815186251002206,1.4606663462249097,-0.06743880536010954,1.1243179395447316,2.7755575615628914e-17,2.2887833992611187e-16,2.220446049250313e-16
3.141592653589793,1.55,0.25000000000000006,-0.358826247689464,0.7842421441774491,-0.16666666666666674,1.0,0.21765249537892772,1.4315157116451018,-0.07058687615526812,1.1078789279112755,1.3877787807814457e-17,0.0,3.3306690738754696e-16
3.2288591161895095,1.55209291604954,0.21339458804598366,-0.3521109662762102,0.778287083301545,-0.16596902798348676,0.9877981960153278,0.20631484860196014,1.4068204214428937,-0.07289805883712502,1.0925537523722193,1.3877787807814457e-17,1.2412670766236366e-16,3.3306690738754696e-16
3.316125578789226,1.5583557358432856,0.17706776537988939,-0.3430246149386374,0.7702293755116217,-0.16388142138557157,0.9756892551266297,0.1944049657205601,1.3866090143566459,-0.07430982460903865,1.0784191949341337,1.3877787807814457e-17,1.2412670766236366e-16,1.1102230246251565e-16
3.4033920413889427,1.5687407955410124,0.1412960010569413,-0.3317283559665208,0.7602119383099334,-0.16041973481966262,0.9637653336856471,0.18219750747405372,1.3708721244370745,-0.07476542424623353,1.065542031373504,1.3877787807814457e-17,5.551115123125783e-17,4.440892098500626e-16
3.490658503988659,1.5831690585677505,0.10635153980321918,-0.3183985481167005,0.7483911653110362,-0.15561031381074994,0.9521171799344064,0.16996615480115118,1.3595692091811467,-0.07421619665777465,1.0539801872460914,0.0,5.551115123125783e-17,2.220446049250313e-16
3.5779249665883754,1.6015307171298425,0.0725003300689063,-0.30322200362697965,0.7349327201975102,-0.14948976095671926,0.940833443356302,0.15797472438380156,1.3526348896738858,-0.07262363962158905,1.043783804935698,1.3877787807814457e-17,1.2412670766236366e-16,2.220446049250313e-16
3.665191429188092,1.6236860279185588,0.04000000000000012,-0.2863916536156722,0.720007692828992,-0.1421046573604805,0.93,0.1464693351499029,1.349984614342016,-0.06996115923288465,1.034996153585504,1.3877787807814457e-17,1.1102230246251565e-16,2.220446049250313e-16
3.752457891787808,1.6494663756410544,0.009097896732560756,-0.2681027424853732,0.703789224468161,-0.13351120811964864,0.9196992989108536,0.13567186061180048,1.351519447796239,-0.06621544093678636,1.0276543361322,1.3877787807814457e-17,1.2412670766236366e-16,2.220446049250313e-16
3.839724354387525,1.678675556284562,-0.019970796068346452,-0.24854962178100776,0.6864496645982521,-0.12377481457181272,0.9100097346438845,0.12577479984657736,1.3571298747351492,-0.0613874109672152,1.0217897696667007,0.0,0.0,2.220446049250313e-16
3.9269908169872414,1.7110912703473988,-0.04698484809834991,-0.22792316855700354,0.6681582815505502,-0.11296957655086715,0.9010050506338834,0.11693760746140563,1.3666985888005496,-0.05549278054779895,1.01742843517555,1.3877787807814457e-17,0.0,6.661338147750939e-16
4.014257279586958,1.7464668146724034,-0.0717386661099707,-0.2064088153661838,0.6490795155134083,-0.1011777284425323,0.8927537779633431,0.10928444540477072,1.380102302863213,-0.04856218498070654,1.0145909091883105,1.3877787807814457e-17,1.1443916996305594e-16,2.220446049250313e-16
4.101523742186674,1.7845329600069246,-0.09404385860137643,-0.18418514982323397,0.6293717366356981,-0.08848901333102521,0.8853187137995412,0.10290325965339231,1.3972126681272274,-0.04064094508492083,1.0132922023814628,1.3877787807814457e-17,1.1102230246251565e-16,2.220446049250313e-16
4.1887902047863905,1.8249999999999997,-0.11373066958946415,-0.16142302150017093,0.6091864530284534,-0.07500000000000018,0.8787564434701786,0.09784604300034133,1.417896424353629,-0.0317884892499148,1.0135414386910413,2.7755575615628914e-17,1.1102230246251565e-16,2.220446049250313e-16
4.276056667386107,1.867559956042615,-0.13064927055539288,-0.13828508200571818,0.5886679029107312,-0.060813347985795074,0.8731169098148691,0.09413012005405114,1.4420149236231448,-0.02207748097583352,1.015341413266938,1.3877787807814457e-17,1.1102230246251565e-16,2.220446049250313e-16
4.363323129985823,1.9118889211708818,-0.14467090073008143,-0.11492567926563696,0.5679529608582063,-0.046037026276372815,0.868443033089973,0.09174027970215548,1.469423177553506,-0.01159269978174074,1.0186880692058562,1.3877787807814457e-17,1.1443916996305594e-16,2.220446049250313e-16
4.4505895925855405,1.9576495251936137,-0.15568884704140867,-0.09149102777412764,0.5471712887808301,-0.03078349160212886,0.8647703843195305,0.0906315807418687,1.4999685753969312,-0.0004297235161294724,1.0235699320888807,6.938893903907228e-18,1.3877787807814457e-17,2.220446049250313e-16
4.537856055185257,2.0044935022831885,-0.16361925626512736,-0.06811958140462974,0.5264456665286337,-0.015168832572270604,0.8621269145782908,0.09073266509244768,1.5334894106776051,0.011306541843908967,1.0299675386031195,0.0,0.0,2.220446049250313e-16
4.625122517784973,2.052064341488788,-0.1684017731985331,-0.044942542844514224,0.5058924436545691,0.0006881138295959192,0.8605327422671557,0.0919494271778162,1.5698133394923288,0.02350344216665099,1.0378528915734488,6.938893903907228e-18,1.1102230246251565e-16,4.440892098500626e-16
4.71238898038469,2.1,-0.16999999999999998,-0.02208445265278717,0.485622061786434,0.016666666666666607,0.86,0.09416890530557416,1.6087558764271321,0.03604222632639349,1.047188969106783,1.3877787807814457e-17,2.220446049250313e-16,2.220446049250313e-16
4.799655442984406,2.147935658511212,-0.1684017731985331,0.0003361896196408531,0.4657396054316393,0.0326452195037373,0.8605327422671557,0.09726327927193018,1.6501190159381884,0.04879973444578552,1.057929310684914,6.938893903907228e-18,1.1188630228279524e-16,4.440892098500626e-16
4.886921905584122,2.1955064977168117,-0.1636192562651274,0.02220631056580085,0.446345347234101,0.04850216590560382,0.8621269145782908,0.10109387658520975,1.6936900492666704,0.0616500935755053,1.0700176982503857,0.0,6.938893903907228e-18,2.220446049250313e-16
4.974188368183839,2.2423504748063863,-0.15568884704140873,0.043417684070216914,0.4275352612962227,0.064116824935462,0.8647703843195305,0.10551510666595218,1.739240630366146,0.07446639536808455,1.0833879458311844,3.469446951953614e-18,1.1102230246251565e-16,2.220446049250313e-16
5.061454830783555,2.2881110788291177,-0.1446709007300816,0.06386641063085777,0.40940148491225786,0.0793703596097058,0.8684430330899727,0.11037825756740188,1.7865261294454027,0.08712233409912983,1.0979638071788302,3.469446951953614e-18,2.2247786310271853e-16,2.220446049250313e-16
5.148721293383272,2.3324400439573845,-0.1306492705553931,0.08345247053932674,0.39203271480474783,0.09414668131912807,0.8731169098148689,0.11553510287873073,1.8352852998351112,0.09949378670902873,1.1136590073199295,3.469446951953614e-18,2.220446049250313e-16,2.220446049250313e-16
5.235987755982989,2.375,-0.1137306695894642,0.10207936127308587,0.37551452868235774,0.10833333333333324,0.8787564434701786,0.120841277453828,1.8852402730458202,0.11146031936345693,1.130377400864089,8.673617379884035e-18,1.3877787807814457e-17,2.220446049250313e-16
5.323254218582705,2.4154670399930755,-0.09404385860137654,0.11965382523231133,0.3599296266807804,0.12182234666435843,0.8853187137995411,0.12615938952845263,1.9360968880370626,0.12290660738038198,1.1480132573589215,0.0,0.0,2.220446049250313e-16
5.410520681182422,2.4535331853275966,-0.07173866610997082,0.13608567075435812,0.3453579900857579,0.13451106177586544,0.8927537779633431,0.13136184381888005,1.9875453537185135,0.1337237572866191,1.1664516719021356,1.5612511283791264e-17,2.7755575615628914e-17,2.220446049250313e-16
5.497787143782138,2.4889087296526013,-0.04698484809835002,0.15128768704739637,0.33187695676928997,0.14630290988420036,0.9010050506338834,0.13633335555780834,2.0392612383630704,0.14381052130260236,1.1855690975661801,1.734723475976807e-18,2.220446049250313e-16,4.440892098500626e-16
5.585053606381854,2.521324443715438,-0.01997079606834662,0.16517565217700442,0.319561214107185,0.15710814790514593,0.9100097346438845,0.14097313936142897,2.0909067757172832,0.1530743957692167,1.2052339949122342,0.0,0.0,4.440892098500626e-16
5.672320068981571,2.5505336243589456,0.009097896732560479,0.17766843238934335,0.3084827109000161,0.16684454145298178,0.9196992989108534,0.14519675958025863,2.142132474932528,0.16143259598480098,1.225307592916272,0.0,0.0,4.440892098500626e-16
5.759586531581287,2.5763139720814414,0.039999999999999813,0.18868817074001273,0.29871049009847916,0.17543799069381372,0.93,0.14893763060141568,2.1925790198030417,0.1688129006707142,1.2456447549507605,0.0,2.220446049250313e-16,6.661338147750939e-16
