vertices,triangles_in_any_triangulation,diagonals_in_any_triangulation,euler_check_V_minus_E_plus_F
3,1,0,2
4,2,1,2
5,3,2,2
6,4,3,2
7,5,4,2
8,6,5,2
9,7,6,2
10,8,7,2
11,9,8,2
12,10,9,2
