vertices_in_convex_polygon,catalan_index_m,triangulations,closed_form,recurrence_matches_closed_form
3,1,1,1,True
4,2,2,2,True
5,3,5,5,True
6,4,14,14,True
7,5,42,42,True
8,6,132,132,True
9,7,429,429,True
10,8,1430,1430,True
11,9,4862,4862,True
12,10,16796,16796,True
