variant,setting,bound,example_vertices,example_bound
classical art gallery,"arbitrary simple polygon, interior coverage by vertex guards",floor(n/3),10,3
orthogonal gallery,"right-angled polygon, interior coverage",floor(n/4),12,3
fortress,polygon exterior covered by boundary guards,ceil(n/2),12,6
