solid,edge_family,edge_count,angle_expression,angle_over_pi_numeric,rational_multiple_of_pi
P rational tetrahedron,"AD, BC, BD",3,pi/2,0.5,True
P rational tetrahedron,"AB, CD",2,pi/4,0.25,True
P rational tetrahedron,AC,1,pi/3,0.3333333333333333,True
Q irrational tetrahedron,"AD, BD, CD",3,pi/2,0.5,True
Q irrational tetrahedron,"AB, AC, BC",3,atan(sqrt(2)),0.3040867239846964,False
