expected_points_lines,expected_weight,finite_points,infinity_points,line_pair_unique_point,line_weight_max,line_weight_min,lines,point_pair_unique_line,point_weight_max,point_weight_min,points,q
7,3,4,3,True,3,3,7,True,3,3,7,2
13,4,9,4,True,4,4,13,True,4,4,13,3
