design,means_deg_used_to_simulate,kappas_used_to_simulate,N,F_WW,WW_p,between_loss,within_loss,homogeneity_p,fitted_kappas,decision_note
"same means, equal concentration","[10, 10, 10]","[3.2, 3.2, 3.2]",126,0.6417629843990654,0.5281168858948448,0.24166910237575223,23.15909480199433,0.13122171945701358,"[4.27, 2.97, 2.53]",no mean-direction signal and no concentration warning
"different means, equal concentration","[-10, 18, 46]","[3.2, 3.2, 3.2]",126,19.62326610431132,4.012137705286329e-08,6.913074802786866,21.6658174083459,0.3031674208144796,"[2.83, 4.24, 3.08]",mean-direction signal with compatible concentrations
"different means, unequal concentration","[-10, 18, 46]","[0.9, 3.2, 8.0]",126,13.335652435402643,5.729857726352926e-06,6.053216367905733,27.915605061655356,0.004524886877828055,"[1.39, 2.93, 14.17]","mean-direction signal, but equal-concentration assumption is suspect"
