abs_coefficient,coefficient,eigenvalue,mode
0.4500000000000004,-0.4500000000000004,1.734723475976807e-16,0
1.0986325451315864,1.0986325451315864,0.15224093497742583,1
1.6871627015290431,-1.6871627015290431,0.15224093497742622,2
0.5286837279567146,0.5286837279567146,0.5857864376269031,3
0.2572598666408485,-0.2572598666408485,0.5857864376269051,4
0.8858025491388606,-0.8858025491388606,1.2346331352698188,5
0.5205386913914349,-0.5205386913914349,1.2346331352698199,6
0.3178324173370723,-0.3178324173370723,1.9999999999999987,7
0.3185632660707641,-0.3185632660707641,1.9999999999999993,8
0.3486301086627557,-0.3486301086627557,2.765366864730177,9
0.05885280180130931,-0.05885280180130931,2.7653668647301797,10
0.0925656219637272,0.0925656219637272,3.414213562373093,11
0.22526092080117324,0.22526092080117324,3.414213562373095,12
0.06897788965499196,-0.06897788965499196,3.8477590650225717,13
0.10323006056962314,-0.10323006056962314,3.847759065022574,14
1.3600232051658168e-15,1.3600232051658168e-15,4.000000000000002,15
