bipartite,components,connected,degree_sequence,diameter_if_connected,edges,graph_family,nodes,regular_degree
True,6,False,0 0 0 0 0 0,,0,Null N6,6,0
True,1,True,1 1 2 2 2 2,5,5,Path P6,6,
True,1,True,2 2 2 2 2 2,3,6,Cycle C6,6,2
False,1,True,5 5 5 5 5 5,1,15,Complete K6,6,5
True,1,True,3 3 3 3 3 3,2,9,"Bipartite K3,3",6,3
False,1,True,3 3 3 3 3 3 3 3 3 3,2,15,Petersen,10,3
