p,a_p_raw,b_p_raw,R_p,phase_degrees,fold_axis_degrees,u_p_centered,v_p_centered
1,0.7883427494335147,-0.13725016574772977,0.8002011613226844,350.12381769188653,350.12381769188653,0.8002011613226843,2.3790493384824782e-17
2,0.33313856925948476,-0.19255932109201418,0.3847861723966623,329.9714137421701,164.98570687108506,0.37861387821102227,-0.06864349709683443
3,-0.011651500172642475,-0.14424134691780133,0.144711173089484,265.3817996375144,88.46059987917147,0.06118126721824158,-0.1311418169711881
4,-0.06563478530113528,-0.04285536125774422,0.07838690598599928,213.1419946432506,53.28549866081265,-0.023379876411135828,-0.07481903774480064
