r1,r2,euclidean_delta,hyperbolic_distance
0.0,0.2,0.2,0.4054651081081642
0.2,0.4,0.2,0.4418327522790391
0.4,0.6,0.19999999999999996,0.5389965007326871
0.6,0.8,0.20000000000000007,0.810930216216329
0.8,0.92,0.12,0.9808292530117263
