mode,norm,step,x,y
finite_center_rotation,0.5028916384272063,0,0.48,0.15
finite_center_rotation,0.5028916384272063,1,0.11009618943233426,0.4906921938165305
finite_center_rotation,0.5028916384272064,2,-0.36990381056766575,0.3406921938165307
finite_center_rotation,0.5028916384272064,3,-0.48000000000000015,-0.14999999999999977
finite_center_rotation,0.5028916384272064,4,-0.11009618943233454,-0.49069219381653056
finite_center_rotation,0.5028916384272064,5,0.3699038105676656,-0.34069219381653093
finite_center_rotation,0.5028916384272064,6,0.4800000000000002,0.14999999999999952
exterior_center_iteration,0.25,0,0.0,0.25
exterior_center_iteration,0.9986869712638845,1,0.7285320712475809,0.6830934692528838
exterior_center_iteration,0.999994351421356,2,0.7665605004153626,0.6421632986068008
exterior_center_iteration,0.9999999725467021,3,0.769044610561812,0.6391950657344251
exterior_center_iteration,0.9999999998654115,4,0.7692177348754594,0.6389867573619116
exterior_center_iteration,0.9999999999993396,5,0.7692298563217012,0.6389721653890523
exterior_center_iteration,0.9999999999999966,6,0.7692307052904631,0.6389711433533832
exterior_center_iteration,0.9999999999999999,7,0.7692307647523726,0.6389710717696693
exterior_center_iteration,0.9999999999999998,8,0.7692307689171008,0.6389710667559254
exterior_center_iteration,0.9999999999999999,9,0.7692307692087996,0.6389710664047615
