complex,f_vector,chi,betti_Q,betti_gudhi,boundary_squared_zero
one filled triangle,"[3, 3, 1]",1,"[1, 0, 0]","[1, 0, 0]",True
tetrahedron boundary sphere,"[4, 6, 4]",2,"[1, 0, 1]","[1, 0, 1]",True
periodic 4x4 torus triangulation,"[16, 48, 32]",0,"[1, 2, 1]","[1, 2, 1]",True
