periodic_grid,vertices,edges,triangles,chi_from_complex,betti_Q,trimesh_euler,watertight_mesh,max_embedded_edge_length
3x3,9,27,18,0,"[1, 2, 1]",0,True,4.53797311583046
4x4,16,48,32,0,"[1, 2, 1]",0,True,3.7052395334175094
5x5,25,75,50,0,"[1, 2, 1]",0,True,3.0799947220125596
6x6,36,108,72,0,"[1, 2, 1]",0,True,2.6200000000000014
7x7,49,147,98,0,"[1, 2, 1]",0,True,2.273550792976005
