a_coordinate,hyperbolic_leg_length,defect_formula,euclidean_a_squared_over_2,relative_error_to_euclidean
0.04,0.04002135383676825,0.0008006405979482158,0.0008,0.0008007474352697292
0.08,0.08017132503758968,0.003210278387319193,0.0032,0.0032119960372478315
0.16,0.1613866961315255,0.01296632766926204,0.0128,0.012994349161096794
0.24,0.2447741126593529,0.029658384069304385,0.0288,0.02980500240640227
0.32,0.3316471087051322,0.053989124830840236,0.0512,0.05447509435234831
