real,imag,word_depth,radius
0.0,0.0,0,0.0
0.5298956075275294,0.0,1,0.5298956075275294
-0.5298956075275294,0.0,1,0.5298956075275294
3.244674798204155e-17,0.5298956075275294,1,0.5298956075275294
-3.244674798204155e-17,-0.5298956075275294,1,0.5298956075275294
0.8274516110081666,0.0,2,0.8274516110081666
0.35325499744101446,0.6290858503660574,2,0.7214832640802118
0.35325499744101435,-0.6290858503660574,2,0.7214832640802117
-0.8274516110081666,0.0,2,0.8274516110081666
-0.35325499744101435,0.6290858503660574,2,0.7214832640802117
-0.35325499744101446,-0.6290858503660574,2,0.7214832640802118
0.6290858503660574,0.3532549974410144,2,0.7214832640802117
-0.6290858503660574,0.3532549974410144,2,0.7214832640802117
5.06667983435236e-17,0.8274516110081666,2,0.8274516110081666
0.6290858503660574,-0.3532549974410144,2,0.7214832640802117
-0.6290858503660574,-0.3532549974410144,2,0.7214832640802117
-5.06667983435236e-17,-0.8274516110081666,2,0.8274516110081666
0.9436094240597148,0.0,3,0.9436094240597148
0.4991504440673443,0.7487545957640229,3,0.8998803312054178
0.4991504440673442,-0.7487545957640229,3,0.8998803312054178
0.8274516110081666,0.2975560034806372,3,0.8793268696948702
-0.45774563326683215,0.5862322172938812,3,0.7437736734841813
0.14014572791542537,0.8889003236794483,3,0.8998803312054178
0.8274516110081666,-0.2975560034806372,3,0.8793268696948702
-0.45774563326683226,-0.5862322172938812,3,0.7437736734841813
0.14014572791542526,-0.8889003236794483,3,0.8998803312054178
-0.9436094240597148,0.0,3,0.9436094240597148
-0.4991504440673442,0.7487545957640229,3,0.8998803312054178
-0.4991504440673443,-0.7487545957640229,3,0.8998803312054178
0.45774563326683226,0.5862322172938812,3,0.7437736734841813
-0.8274516110081666,0.2975560034806372,3,0.8793268696948702
-0.14014572791542526,0.8889003236794483,3,0.8998803312054178
0.45774563326683215,-0.5862322172938812,3,0.7437736734841813
-0.8274516110081666,-0.2975560034806372,3,0.8793268696948702
-0.14014572791542537,-0.8889003236794483,3,0.8998803312054178
0.8889003236794483,0.14014572791542532,3,0.8998803312054178
0.29755600348063727,0.8274516110081666,3,0.8793268696948702
0.5862322172938812,-0.4577456332668322,3,0.7437736734841813
-0.8889003236794483,0.14014572791542532,3,0.8998803312054178
-0.29755600348063715,0.8274516110081666,3,0.8793268696948702
-0.5862322172938812,-0.4577456332668322,3,0.7437736734841813
0.7487545957640229,0.49915044406734427,3,0.8998803312054178
-0.7487545957640229,0.49915044406734427,3,0.8998803312054178
5.777941304100036e-17,0.9436094240597148,3,0.9436094240597148
0.8889003236794483,-0.14014572791542532,3,0.8998803312054178
0.5862322172938812,0.4577456332668322,3,0.7437736734841813
0.29755600348063715,-0.8274516110081666,3,0.8793268696948702
-0.8889003236794483,-0.14014572791542532,3,0.8998803312054178
-0.5862322172938812,0.4577456332668322,3,0.7437736734841813
-0.29755600348063727,-0.8274516110081666,3,0.8793268696948702
0.7487545957640229,-0.49915044406734427,3,0.8998803312054178
-0.7487545957640229,-0.49915044406734427,3,0.8998803312054178
-5.777941304100036e-17,-0.9436094240597148,3,0.9436094240597148
0.9823271990787845,0.0,4,0.9823271990787845
0.5429168609352398,0.8013619043342828,4,0.9679564141045002
0.5429168609352399,-0.8013619043342826,4,0.9679564141045001
0.9100017142073302,0.3066045322047627,4,0.9602653065839569
-0.4577574857922755,0.7710837466547268,4,0.8967229561876713
0.1776405953962959,0.9490778932448214,4,0.9655594381387296
0.91000171420733,-0.30660453220476275,4,0.9602653065839568
-0.4577574857922756,-0.7710837466547266,4,0.8967229561876712
0.1776405953962958,-0.9490778932448214,4,0.9655594381387296
0.9548115611763406,0.10219756197082513,4,0.9602653065839573
0.3883382197005523,0.8618349120172396,4,0.9452861939391465
0.6599424343961464,-0.6193560340645398,4,0.9050557516798992
-0.8591005853026751,0.25701798475312404,4,0.8967229561876712
-0.18530481041003063,0.8858826338109185,4,0.9050557516798992
-0.6164522511972684,-0.13518147194787333,4,0.6311001571574625
0.8274516110081666,0.46464471670943885,4,0.948984131229814
-0.7225259259408674,0.5925794970067229,4,0.934448593518899
0.04646124025883552,0.9668407173674747,4,0.9679564141045001
0.9548115611763406,-0.10219756197082513,4,0.9602653065839573
0.6599424343961462,0.6193560340645397,4,0.9050557516798989
0.3883382197005522,-0.8618349120172394,4,0.9452861939391461
-0.8591005853026751,-0.257017984753124,4,0.8967229561876712
-0.6164522511972684,0.1351814719478734,4,0.6311001571574625
-0.18530481041003075,-0.8858826338109185,4,0.9050557516798992
0.8274516110081664,-0.4646447167094389,4,0.948984131229814
-0.7225259259408674,-0.5925794970067227,4,0.9344485935188989
0.0464612402588354,-0.9668407173674747,4,0.9679564141045001
-0.9823271990787845,0.0,4,0.9823271990787845
-0.5429168609352399,0.8013619043342826,4,0.9679564141045001
-0.5429168609352398,-0.8013619043342828,4,0.9679564141045002
0.4577574857922756,0.7710837466547266,4,0.8967229561876712
-0.91000171420733,0.30660453220476275,4,0.9602653065839568
-0.1776405953962958,0.9490778932448214,4,0.9655594381387296
0.4577574857922755,-0.7710837466547268,4,0.8967229561876713
-0.9100017142073302,-0.3066045322047627,4,0.9602653065839569
-0.1776405953962959,-0.9490778932448214,4,0.9655594381387296
0.8591005853026751,0.257017984753124,4,0.8967229561876712
0.18530481041003075,0.8858826338109185,4,0.9050557516798992
0.6164522511972684,-0.1351814719478734,4,0.6311001571574625
-0.9548115611763406,0.10219756197082513,4,0.9602653065839573
-0.3883382197005522,0.8618349120172394,4,0.9452861939391461
-0.6599424343961462,-0.6193560340645397,4,0.9050557516798989
0.7225259259408674,0.5925794970067227,4,0.9344485935188989
-0.8274516110081664,0.4646447167094389,4,0.948984131229814
-0.0464612402588354,0.9668407173674747,4,0.9679564141045001
0.8591005853026751,-0.25701798475312404,4,0.8967229561876712
0.6164522511972684,0.13518147194787333,4,0.6311001571574625
0.18530481041003063,-0.8858826338109185,4,0.9050557516798992
-0.9548115611763406,-0.10219756197082513,4,0.9602653065839573
-0.6599424343961464,0.6193560340645398,4,0.9050557516798992
-0.3883382197005523,-0.8618349120172396,4,0.9452861939391465
0.7225259259408674,-0.5925794970067229,4,0.934448593518899
