n,m,exists_hyperbolic,vertex_angle_deg,alpha_deg,beta_deg,circumradius,inradius,side_length,euclidean_vertex_radius
5,4,True,90.0,36.0,45.0,0.8424820814620076,0.6268696629061781,1.0612750619050362,0.39797542678479075
6,4,True,90.0,29.999999999999996,45.0,1.146215834780589,0.8813735870195432,1.3169578969248168,0.5176380902050416
7,3,True,120.0,25.714285714285715,59.99999999999999,0.6206717375563865,0.5452748317535437,0.5662563067353154,0.3007426187463789
8,3,True,120.0,22.5,59.99999999999999,0.8607063041637809,0.7642854597404994,0.7270398393505151,0.40561640080151634
9,4,True,90.0,20.0,45.0,1.668933795119352,1.3550485187968722,1.5806981378565141,0.6828672331829948
12,3,True,120.0,14.999999999999998,59.99999999999999,1.401994323405333,1.2766868683803458,0.9516430642375223,0.6050003337060558
