estimate,method,sample_count,trial
3.30969602526003,uniform hemisphere,96,41
3.141592653589793,cosine-weighted hemisphere,96,41
3.141592653589793,jittered cosine warp,81,41
3.212853620358864,uniform hemisphere,96,42
3.141592653589793,cosine-weighted hemisphere,96,42
3.141592653589793,jittered cosine warp,81,42
3.089818446538638,uniform hemisphere,96,43
3.141592653589793,cosine-weighted hemisphere,96,43
3.141592653589793,jittered cosine warp,81,43
3.1621069602058625,uniform hemisphere,96,44
3.141592653589793,cosine-weighted hemisphere,96,44
3.141592653589793,jittered cosine warp,81,44
3.130764198312131,uniform hemisphere,96,45
3.141592653589793,cosine-weighted hemisphere,96,45
3.141592653589793,jittered cosine warp,81,45
3.1221274819771314,uniform hemisphere,96,46
3.141592653589793,cosine-weighted hemisphere,96,46
3.141592653589793,jittered cosine warp,81,46
3.0973530714825226,uniform hemisphere,96,47
3.141592653589793,cosine-weighted hemisphere,96,47
3.141592653589793,jittered cosine warp,81,47
3.0027696806051196,uniform hemisphere,96,48
3.141592653589793,cosine-weighted hemisphere,96,48
3.141592653589793,jittered cosine warp,81,48
3.1755516628062566,uniform hemisphere,96,49
3.141592653589793,cosine-weighted hemisphere,96,49
3.141592653589793,jittered cosine warp,81,49
2.835802462500419,uniform hemisphere,96,50
3.141592653589793,cosine-weighted hemisphere,96,50
3.141592653589793,jittered cosine warp,81,50
3.2759849029969064,uniform hemisphere,96,51
3.141592653589793,cosine-weighted hemisphere,96,51
3.141592653589793,jittered cosine warp,81,51
2.988510198730219,uniform hemisphere,96,52
3.141592653589793,cosine-weighted hemisphere,96,52
3.141592653589793,jittered cosine warp,81,52
2.8724507212883537,uniform hemisphere,96,53
3.141592653589793,cosine-weighted hemisphere,96,53
3.141592653589793,jittered cosine warp,81,53
3.387800381740014,uniform hemisphere,96,54
3.141592653589793,cosine-weighted hemisphere,96,54
3.141592653589793,jittered cosine warp,81,54
3.1565177995495524,uniform hemisphere,96,55
3.141592653589793,cosine-weighted hemisphere,96,55
3.141592653589793,jittered cosine warp,81,55
3.297654464164259,uniform hemisphere,96,56
3.141592653589793,cosine-weighted hemisphere,96,56
3.141592653589793,jittered cosine warp,81,56
3.081735686486452,uniform hemisphere,96,57
3.141592653589793,cosine-weighted hemisphere,96,57
3.141592653589793,jittered cosine warp,81,57
3.303912203584946,uniform hemisphere,96,58
3.141592653589793,cosine-weighted hemisphere,96,58
3.141592653589793,jittered cosine warp,81,58
3.0458411434315753,uniform hemisphere,96,59
3.141592653589793,cosine-weighted hemisphere,96,59
3.141592653589793,jittered cosine warp,81,59
2.986718614487195,uniform hemisphere,96,60
3.141592653589793,cosine-weighted hemisphere,96,60
3.141592653589793,jittered cosine warp,81,60
3.337486120985107,uniform hemisphere,96,61
3.141592653589793,cosine-weighted hemisphere,96,61
3.141592653589793,jittered cosine warp,81,61
3.0837909262173375,uniform hemisphere,96,62
3.141592653589793,cosine-weighted hemisphere,96,62
3.141592653589793,jittered cosine warp,81,62
3.4722535647467403,uniform hemisphere,96,63
3.141592653589793,cosine-weighted hemisphere,96,63
3.141592653589793,jittered cosine warp,81,63
3.050247425293499,uniform hemisphere,96,64
3.141592653589793,cosine-weighted hemisphere,96,64
3.141592653589793,jittered cosine warp,81,64
3.3073583708498293,uniform hemisphere,96,65
3.141592653589793,cosine-weighted hemisphere,96,65
3.141592653589793,jittered cosine warp,81,65
3.1545507566820397,uniform hemisphere,96,66
3.141592653589793,cosine-weighted hemisphere,96,66
3.141592653589793,jittered cosine warp,81,66
3.2997187170396187,uniform hemisphere,96,67
3.141592653589793,cosine-weighted hemisphere,96,67
3.141592653589793,jittered cosine warp,81,67
2.95751772094775,uniform hemisphere,96,68
3.141592653589793,cosine-weighted hemisphere,96,68
3.141592653589793,jittered cosine warp,81,68
3.171771705788531,uniform hemisphere,96,69
3.141592653589793,cosine-weighted hemisphere,96,69
3.141592653589793,jittered cosine warp,81,69
3.1728940447389924,uniform hemisphere,96,70
3.141592653589793,cosine-weighted hemisphere,96,70
3.141592653589793,jittered cosine warp,81,70
3.2188940596966735,uniform hemisphere,96,71
3.141592653589793,cosine-weighted hemisphere,96,71
3.141592653589793,jittered cosine warp,81,71
2.917657343721508,uniform hemisphere,96,72
3.141592653589793,cosine-weighted hemisphere,96,72
3.141592653589793,jittered cosine warp,81,72
3.3403418077158773,uniform hemisphere,96,73
3.141592653589793,cosine-weighted hemisphere,96,73
3.141592653589793,jittered cosine warp,81,73
3.3759957396258655,uniform hemisphere,96,74
3.141592653589793,cosine-weighted hemisphere,96,74
3.141592653589793,jittered cosine warp,81,74
3.2706485758290387,uniform hemisphere,96,75
3.141592653589793,cosine-weighted hemisphere,96,75
3.141592653589793,jittered cosine warp,81,75
3.0874444384365707,uniform hemisphere,96,76
3.141592653589793,cosine-weighted hemisphere,96,76
3.141592653589793,jittered cosine warp,81,76
3.130362809827442,uniform hemisphere,96,77
3.141592653589793,cosine-weighted hemisphere,96,77
3.141592653589793,jittered cosine warp,81,77
3.274862156514967,uniform hemisphere,96,78
3.141592653589793,cosine-weighted hemisphere,96,78
3.141592653589793,jittered cosine warp,81,78
3.2166022173933464,uniform hemisphere,96,79
3.141592653589793,cosine-weighted hemisphere,96,79
3.141592653589793,jittered cosine warp,81,79
3.3150984591736,uniform hemisphere,96,80
3.141592653589793,cosine-weighted hemisphere,96,80
3.141592653589793,jittered cosine warp,81,80
3.1682854057601433,uniform hemisphere,96,81
3.141592653589793,cosine-weighted hemisphere,96,81
3.141592653589793,jittered cosine warp,81,81
2.7421341841724343,uniform hemisphere,96,82
3.141592653589793,cosine-weighted hemisphere,96,82
3.141592653589793,jittered cosine warp,81,82
3.206617365028125,uniform hemisphere,96,83
3.141592653589793,cosine-weighted hemisphere,96,83
3.141592653589793,jittered cosine warp,81,83
3.0952864818126486,uniform hemisphere,96,84
3.141592653589793,cosine-weighted hemisphere,96,84
3.141592653589793,jittered cosine warp,81,84
3.087844929514555,uniform hemisphere,96,85
3.141592653589793,cosine-weighted hemisphere,96,85
3.141592653589793,jittered cosine warp,81,85
2.703425042813541,uniform hemisphere,96,86
3.141592653589793,cosine-weighted hemisphere,96,86
3.141592653589793,jittered cosine warp,81,86
3.007221311377993,uniform hemisphere,96,87
3.141592653589793,cosine-weighted hemisphere,96,87
3.141592653589793,jittered cosine warp,81,87
3.009087533170439,uniform hemisphere,96,88
3.141592653589793,cosine-weighted hemisphere,96,88
3.141592653589793,jittered cosine warp,81,88
2.9954015126880473,uniform hemisphere,96,89
3.141592653589793,cosine-weighted hemisphere,96,89
3.141592653589793,jittered cosine warp,81,89
3.0845733223356913,uniform hemisphere,96,90
3.141592653589793,cosine-weighted hemisphere,96,90
3.141592653589793,jittered cosine warp,81,90
2.9316813842825358,uniform hemisphere,96,91
3.141592653589793,cosine-weighted hemisphere,96,91
3.141592653589793,jittered cosine warp,81,91
3.0817420278939966,uniform hemisphere,96,92
3.141592653589793,cosine-weighted hemisphere,96,92
3.141592653589793,jittered cosine warp,81,92
3.0213014081349634,uniform hemisphere,96,93
3.141592653589793,cosine-weighted hemisphere,96,93
3.141592653589793,jittered cosine warp,81,93
3.097009803999514,uniform hemisphere,96,94
3.141592653589793,cosine-weighted hemisphere,96,94
3.141592653589793,jittered cosine warp,81,94
3.0290313091777583,uniform hemisphere,96,95
3.141592653589793,cosine-weighted hemisphere,96,95
3.141592653589793,jittered cosine warp,81,95
3.180127593819522,uniform hemisphere,96,96
3.141592653589793,cosine-weighted hemisphere,96,96
3.141592653589793,jittered cosine warp,81,96
3.2101433202089216,uniform hemisphere,96,97
3.141592653589793,cosine-weighted hemisphere,96,97
3.141592653589793,jittered cosine warp,81,97
3.0218768401816334,uniform hemisphere,96,98
3.141592653589793,cosine-weighted hemisphere,96,98
3.141592653589793,jittered cosine warp,81,98
3.2641228787278287,uniform hemisphere,96,99
3.141592653589793,cosine-weighted hemisphere,96,99
3.141592653589793,jittered cosine warp,81,99
3.4131429643515045,uniform hemisphere,96,100
3.141592653589793,cosine-weighted hemisphere,96,100
3.141592653589793,jittered cosine warp,81,100
3.2146304041114835,uniform hemisphere,96,101
3.141592653589793,cosine-weighted hemisphere,96,101
3.141592653589793,jittered cosine warp,81,101
3.2122384517193816,uniform hemisphere,96,102
3.141592653589793,cosine-weighted hemisphere,96,102
3.141592653589793,jittered cosine warp,81,102
2.8885272793708463,uniform hemisphere,96,103
3.141592653589793,cosine-weighted hemisphere,96,103
3.141592653589793,jittered cosine warp,81,103
3.050789178952891,uniform hemisphere,96,104
3.141592653589793,cosine-weighted hemisphere,96,104
3.141592653589793,jittered cosine warp,81,104
2.942362679167545,uniform hemisphere,96,105
3.141592653589793,cosine-weighted hemisphere,96,105
3.141592653589793,jittered cosine warp,81,105
3.0220159568485676,uniform hemisphere,96,106
3.141592653589793,cosine-weighted hemisphere,96,106
3.141592653589793,jittered cosine warp,81,106
3.428237792490806,uniform hemisphere,96,107
3.141592653589793,cosine-weighted hemisphere,96,107
3.141592653589793,jittered cosine warp,81,107
2.9068315053246145,uniform hemisphere,96,108
3.141592653589793,cosine-weighted hemisphere,96,108
3.141592653589793,jittered cosine warp,81,108
3.137346476191402,uniform hemisphere,96,109
3.141592653589793,cosine-weighted hemisphere,96,109
3.141592653589793,jittered cosine warp,81,109
3.6032459364735785,uniform hemisphere,96,110
3.141592653589793,cosine-weighted hemisphere,96,110
3.141592653589793,jittered cosine warp,81,110
3.2263764155601975,uniform hemisphere,96,111
3.141592653589793,cosine-weighted hemisphere,96,111
3.141592653589793,jittered cosine warp,81,111
2.956502917470915,uniform hemisphere,96,112
3.141592653589793,cosine-weighted hemisphere,96,112
3.141592653589793,jittered cosine warp,81,112
3.2790290700810374,uniform hemisphere,96,113
3.141592653589793,cosine-weighted hemisphere,96,113
3.141592653589793,jittered cosine warp,81,113
3.1841475448127015,uniform hemisphere,96,114
3.141592653589793,cosine-weighted hemisphere,96,114
3.141592653589793,jittered cosine warp,81,114
3.3533160232794614,uniform hemisphere,96,115
3.141592653589793,cosine-weighted hemisphere,96,115
3.141592653589793,jittered cosine warp,81,115
3.4386102607549796,uniform hemisphere,96,116
3.141592653589793,cosine-weighted hemisphere,96,116
3.141592653589793,jittered cosine warp,81,116
2.9481836236356256,uniform hemisphere,96,117
3.141592653589793,cosine-weighted hemisphere,96,117
3.141592653589793,jittered cosine warp,81,117
3.355599712316273,uniform hemisphere,96,118
3.141592653589793,cosine-weighted hemisphere,96,118
3.141592653589793,jittered cosine warp,81,118
3.2654172970165782,uniform hemisphere,96,119
3.141592653589793,cosine-weighted hemisphere,96,119
3.141592653589793,jittered cosine warp,81,119
3.052236442910294,uniform hemisphere,96,120
3.141592653589793,cosine-weighted hemisphere,96,120
3.141592653589793,jittered cosine warp,81,120
3.1333807811536634,uniform hemisphere,96,121
3.141592653589793,cosine-weighted hemisphere,96,121
3.141592653589793,jittered cosine warp,81,121
3.1415230283545967,uniform hemisphere,96,122
3.141592653589793,cosine-weighted hemisphere,96,122
3.141592653589793,jittered cosine warp,81,122
2.944181728166511,uniform hemisphere,96,123
3.141592653589793,cosine-weighted hemisphere,96,123
3.141592653589793,jittered cosine warp,81,123
2.8909804484629085,uniform hemisphere,96,124
3.141592653589793,cosine-weighted hemisphere,96,124
3.141592653589793,jittered cosine warp,81,124
3.5415413917483582,uniform hemisphere,96,125
3.141592653589793,cosine-weighted hemisphere,96,125
3.141592653589793,jittered cosine warp,81,125
2.9773744696909543,uniform hemisphere,96,126
3.141592653589793,cosine-weighted hemisphere,96,126
3.141592653589793,jittered cosine warp,81,126
3.3813453349492746,uniform hemisphere,96,127
3.141592653589793,cosine-weighted hemisphere,96,127
3.141592653589793,jittered cosine warp,81,127
2.9730918762483207,uniform hemisphere,96,128
3.141592653589793,cosine-weighted hemisphere,96,128
3.141592653589793,jittered cosine warp,81,128
3.0662123489050823,uniform hemisphere,96,129
3.141592653589793,cosine-weighted hemisphere,96,129
3.141592653589793,jittered cosine warp,81,129
3.0384766774291836,uniform hemisphere,96,130
3.141592653589793,cosine-weighted hemisphere,96,130
3.141592653589793,jittered cosine warp,81,130
3.194371414671821,uniform hemisphere,96,131
3.141592653589793,cosine-weighted hemisphere,96,131
3.141592653589793,jittered cosine warp,81,131
2.6417041967052106,uniform hemisphere,96,132
3.141592653589793,cosine-weighted hemisphere,96,132
3.141592653589793,jittered cosine warp,81,132
3.111195965582844,uniform hemisphere,96,133
3.141592653589793,cosine-weighted hemisphere,96,133
3.141592653589793,jittered cosine warp,81,133
3.33445568285194,uniform hemisphere,96,134
3.141592653589793,cosine-weighted hemisphere,96,134
3.141592653589793,jittered cosine warp,81,134
3.1729603091105196,uniform hemisphere,96,135
3.141592653589793,cosine-weighted hemisphere,96,135
3.141592653589793,jittered cosine warp,81,135
2.9959684662273944,uniform hemisphere,96,136
3.141592653589793,cosine-weighted hemisphere,96,136
3.141592653589793,jittered cosine warp,81,136
3.098204157554186,uniform hemisphere,96,137
3.141592653589793,cosine-weighted hemisphere,96,137
3.141592653589793,jittered cosine warp,81,137
3.05813157257246,uniform hemisphere,96,138
3.141592653589793,cosine-weighted hemisphere,96,138
3.141592653589793,jittered cosine warp,81,138
3.09015532895072,uniform hemisphere,96,139
3.141592653589793,cosine-weighted hemisphere,96,139
3.141592653589793,jittered cosine warp,81,139
3.0213213438892197,uniform hemisphere,96,140
3.141592653589793,cosine-weighted hemisphere,96,140
3.141592653589793,jittered cosine warp,81,140
3.1541570742174634,uniform hemisphere,96,141
3.141592653589793,cosine-weighted hemisphere,96,141
3.141592653589793,jittered cosine warp,81,141
3.1891205024611415,uniform hemisphere,96,142
3.141592653589793,cosine-weighted hemisphere,96,142
3.141592653589793,jittered cosine warp,81,142
3.136639253007641,uniform hemisphere,96,143
3.141592653589793,cosine-weighted hemisphere,96,143
