evaluation,running_best_rms_pixels
0,36.47813601247967
1,36.47813601247967
2,36.478135987226715
3,36.478135987226715
4,36.478135987226715
5,36.478135987226715
6,36.478135987226715
7,36.478135987226715
8,36.478135987226715
9,36.47813597874564
10,36.47813597874564
11,36.47813597874564
12,36.47813597874564
13,36.47813597750416
14,36.478135965820556
15,36.478135965820556
16,36.478135965820556
17,36.478135965820556
18,36.478135965820556
19,36.478135965820556
20,36.478135965820556
21,36.478135965820556
22,36.478135965820556
23,36.478135965820556
24,36.47813595879933
25,36.47813595879933
26,36.47813595879933
27,36.47813595879933
28,36.47813595879933
29,36.47813595879933
30,36.47813595879933
31,36.47813595879933
32,36.47813595879933
33,36.478135916492405
34,36.478135916492405
35,36.478135916492405
36,36.478135916492405
37,36.478135916492405
38,36.478135916492405
39,36.478135916492405
40,36.478135916492405
41,36.478135916492405
42,36.478135916492405
43,36.478135916492405
44,36.478135916492405
45,36.478135916492405
46,36.478135916492405
47,36.478135916492405
48,36.47813586043819
49,36.47813586043819
50,36.47813586043819
51,36.47813586043819
52,36.47813586043819
53,36.47813586043819
54,36.47813586043819
55,36.47813586043819
56,36.47813586043819
57,36.47813586043819
58,36.47813586043819
59,36.47813586043819
60,36.47813586043819
61,36.47813586043819
62,36.47813586043819
63,36.47813586043819
64,36.47813586043819
65,36.47813586043819
66,36.47813586043819
67,36.47813586043819
68,36.47813586043819
69,36.47813586043819
70,36.47813586043819
71,36.47813586043819
72,36.47813586043819
73,36.47813586043819
74,36.47813586043819
75,36.47813586043819
76,36.47813586043819
77,36.47813586043819
78,36.47813586043819
79,36.47813586043819
80,36.47813586043819
81,36.47813586043819
82,36.47813586043819
83,36.47813586043819
84,36.47813586043819
85,36.47813586043819
86,36.47813586043819
87,36.47813586043819
88,2.1137210519943075
89,2.1137210519943075
90,2.1137210519943075
91,2.1137210519943075
92,2.113720910373845
93,2.113720910373845
94,2.113720910373845
95,2.113720878696341
96,2.113720878696341
97,2.113720878696341
98,2.113720878696341
99,2.113720878696341
100,2.113720878696341
101,2.113720878696341
102,2.113720878696341
103,2.113720878696341
104,2.113720878696341
105,2.113720878696341
106,2.113720878696341
107,2.113720878696341
108,2.113720878696341
109,2.113720878696341
110,2.113720878696341
111,2.113720878696341
112,2.113720878696341
113,2.113720878696341
114,2.113720878696341
115,2.113720878696341
116,2.113720878696341
117,2.113720878696341
118,2.113720878696341
119,2.113720878696341
120,2.1137208436343062
121,2.1137208436343062
122,2.1137208436343062
123,2.1137208436343062
124,2.1137208436343062
125,2.1137208436343062
126,2.1137208436343062
127,2.1137208436343062
128,2.1137208436343062
129,2.1137208436343062
130,2.1137208436343062
131,2.1137208436343062
132,2.1137208436343062
133,2.1137208436343062
134,2.1137208436343062
135,2.1137208436343062
136,2.1137208436343062
137,2.1137208436343062
138,2.1137208436343062
139,2.1137208436343062
140,2.1137208436343062
141,2.1137208436343062
142,2.1137208436343062
143,2.1137208436343062
144,2.1137208436343062
145,2.1137208436343062
146,2.1137208436343062
147,2.1137208436343062
148,2.1137208436343062
149,2.1137208436343062
150,2.1137208436343062
151,2.1137208436343062
152,2.1137208436343062
153,2.1137208436343062
154,2.1137208436343062
155,2.1137208436343062
156,2.1137208436343062
157,2.1137208436343062
158,2.1137208436343062
159,2.1137208436343062
160,2.1137208436343062
161,2.1137208436343062
162,2.1137208436343062
163,2.1137208436343062
164,2.1137208436343062
165,2.1137208436343062
166,2.1137208436343062
167,2.1137208436343062
168,2.1137208436343062
169,2.1137208436343062
170,2.1137208436343062
171,2.1137208436343062
172,2.1137208436343062
173,2.1137208436343062
174,2.1137208436343062
175,2.1137208436343062
176,0.5020286375065391
177,0.5020286375065391
178,0.5020286310352986
179,0.5020286310352986
180,0.5020286310352986
181,0.5020286310352986
182,0.5020286310352986
183,0.5020286310352986
184,0.5020286310352986
185,0.5020286310352986
186,0.5020286310352986
187,0.5020286310352986
188,0.5020286310352986
189,0.5020286310352986
190,0.5020286310352986
191,0.5020286310352986
192,0.5020286310352986
193,0.5020286310352986
194,0.5020286310352986
195,0.5020286310352986
196,0.5020286310352986
197,0.5020286310352986
198,0.5020286310352986
199,0.5020286310352986
200,0.5020286310352986
201,0.5020286310352986
202,0.5020286310352986
203,0.5020286310352986
204,0.5020286310352986
205,0.5020286310352986
206,0.5020286310352986
207,0.5020286310352986
208,0.5020286310352986
209,0.5020286310352986
210,0.5020286310352986
211,0.5020286310352986
212,0.5020286310352986
213,0.5020286310352986
214,0.5020286310352986
215,0.5020286310352986
216,0.5020286310352986
217,0.5020286310352986
218,0.5020286310352986
219,0.5020286310352986
220,0.5020286310352986
221,0.5020286310352986
222,0.5020286289500275
223,0.5020286289500275
224,0.5020286289500275
225,0.5020286266299724
226,0.5020286266299724
227,0.5020286266299724
228,0.5020286266299724
229,0.5020286266299724
230,0.5020286266299724
231,0.5020286266299724
232,0.5020286266299724
233,0.5020286266299724
234,0.5020286266299724
235,0.5020286266299724
236,0.5020286266299724
237,0.5020286266299724
238,0.5020286266299724
239,0.5020286266299724
240,0.5020286266299724
241,0.5020286266299724
242,0.5020286266299724
243,0.5020286266299724
244,0.5020286266299724
245,0.5020286266299724
246,0.5020286266299724
247,0.5020286266299724
248,0.5020286266299724
249,0.5020286266299724
250,0.5020286266299724
251,0.5020286266299724
252,0.5020286266299724
253,0.5020286266299724
254,0.5020286266299724
255,0.5020286266299724
256,0.5020286266299724
257,0.5020286266299724
258,0.5020286266299724
259,0.5020286266299724
260,0.5020286266299724
261,0.5020286266299724
262,0.5020286266299724
263,0.5020286266299724
264,0.501265475710066
265,0.5012654757013862
266,0.5012654757013862
267,0.5012654757013862
268,0.5012654757013862
269,0.5012654757013862
270,0.5012654757013862
271,0.5012654757013862
272,0.5012654757013862
273,0.5012654757013862
274,0.5012654757013862
275,0.5012654757013862
276,0.5012654757013862
277,0.5012654757013862
278,0.5012654757013862
279,0.5012654757013862
280,0.5012654757013862
281,0.5012654757013862
282,0.5012654757013862
283,0.5012654757013862
284,0.5012654757013862
285,0.5012654757013862
286,0.5012654757013862
