index,correct_depths,unit_depths,normalized_image_coordinates
1,20205.707856581146,4553.386081436397,63.8107512893557
2,3774.094705269769,852.4681717707131,50.33351613066292
3,1192.368626131593,299.54262480345966,40.856293587164444
4,356.5696184858314,50.55855779171134,16.95850778763438
5,2.5968283805220015e-12,27.525105485853036,1.611343091669017e-14
6,8.806057978234165e-13,9.010738629954945,1.2455760386029293e-14
7,6.493889698331695e-13,2.3891569102265913,1.170237357183153e-14
8,5.488030724284764e-13,1.1799002910708203,9.721882280001823e-15
9,4.028007307282093e-13,0.44590121774229696,8.634502153913457e-15
10,2.5742424509740457e-13,0.08784795317723329,6.3818869096310835e-15
11,2.0436347410349178e-13,0.03532440471346839,5.290503956769741e-15
12,1.026064864133437e-14,2.90267826103685e-14,4.5218252442247695e-15
13,1.5149631002163097e-15,5.578856349642043e-16,3.2562171122300652e-15
14,1.0688334935702786e-15,3.5244265173883115e-16,2.8207857757486856e-15
