area_on_plotted_support,continuity,filter,finite_support,interpolating_error,minimum_value,natural_radius,ripple_span,ripple_sum_max,ripple_sum_min
1.0004168403501459,discontinuous,box,True,0.0,0.0,0.5,1.0,1.0,0.0
0.9999998262441225,C0,tent,True,0.0,0.0,1.0,0.0,1.0,1.0
0.9999999999999989,smooth,Gaussian sigma=0.5,False,0.2021154391971346,1.0104542167073785e-14,2.0,0.028767533423305625,1.0143837720622289,0.9856162386389232
0.9999999999999698,C2,B-spline cubic,True,0.33333333333333337,0.0,2.0,4.440892098500626e-16,1.0000000000000002,0.9999999999999998
0.9999999998550524,C1,Catmull-Rom cubic,True,0.0,-0.07407345558866929,2.0,3.9968028886505635e-15,1.0000000000000022,0.9999999999999982
0.9999999999033582,C1,Mitchell-Netravali,True,0.11111111111111116,-0.036281136603599745,2.0,2.886579864025407e-15,1.0000000000000016,0.9999999999999987
0.9970553458417706,windowed sinc,Lanczos-3 sinc,True,3.223762155880876e-17,-0.14726488178215502,3.0,0.005701451189858542,1.0,0.9942985488101415
