exponents,n,sum_exponents,dimension_n_minus_3,intersection,dimension_rule_met
"(0, 0, 0)",3,0,0,1,True
"(1, 0, 0, 0)",4,1,1,1,True
"(1, 1, 0, 0, 0)",5,2,2,2,True
"(2, 0, 0, 0, 0)",5,2,2,1,True
"(2, 1, 0, 0, 0, 0)",6,3,3,3,True
