homomorphism,differential,bracket_check,residual
"det: GL(2,R)->R^x",trace,"tr([A,B])=0",0.000e+00
inner automorphism,A -> gAg^-1,"Ad_g([A,B])=[Ad_g A,Ad_g B]",5.829e-16
