artifact,bytes,category,chapter
three-geometry-models.png,28246,figures,Cosmic Topology
three-torus-face-pairings.png,51140,figures,Cosmic Topology
dodecahedral-face-pairings.png,56891,figures,Cosmic Topology
cosmic-crystallography-psh.png,36173,figures,Cosmic Topology
lss-matching-circles.png,90211,figures,Cosmic Topology
friedmann-density-geometry.png,57118,figures,Cosmic Topology
