AB_minus_lambda_I_norm,dual_signature,geometric_reading,lambda_from_trace,model,primal_signature,rank_A,rank_B
0.0,"(+,+,-)",inverse pair,1.0,real nondegenerate,"(+,+,-)",3,3
0.0,"(+,+,+)",inverse pair with no real point locus,1.0,complex nondegenerate,"(+,+,+)",3,3
0.0,"(+,0,0)","rank 2 primal, rank 1 dual",0.0,two real lines plus double point,"(+,-,0)",2,1
0.0,"(+,0,0)","rank 2 primal, rank 1 dual",0.0,two complex lines plus double point,"(+,+,0)",2,1
0.0,"(+,-,0)","rank 1 primal, rank 2 dual",0.0,double line through two real points,"(+,0,0)",1,2
0.0,"(+,+,0)","rank 1 primal, rank 2 dual",0.0,double line through two complex points,"(+,0,0)",1,2
0.0,"(+,0,0)","rank 1 primal, rank 1 dual",0.0,double line with double point on it,"(+,0,0)",1,1
