dimension,k,r,model_volume,euclidean_volume_same_dim,ratio_to_euclidean
2,-1.0,0.05,0.007855618017344352,0.007853981633974483,1.0002083508016864
2,-1.0,0.07784810126582278,0.019048695576025097,0.019039078375324456,1.000505129529437
2,-1.0,0.10569620253164558,0.03512957700576029,0.0350968905287477,1.000931321166068
2,-1.0,0.13354430379746834,0.056110734111712336,0.05602741809424417,1.0014870579495208
2,-1.0,0.16139240506329117,0.08200843919243139,0.08183066107181396,1.0021725123357053
2,-1.0,0.18924050632911393,0.11284277766012037,0.11250661946145697,1.002987897070168
2,-1.0,0.2170886075949367,0.14863766361822736,0.14805529326317318,1.00393346527651
2,-1.0,0.24493670886075952,0.18942085840844597,0.18847668247696275,1.0050095105615975
2,-1.0,0.2727848101265823,0.2352239921415083,0.2337707871028255,1.0062163671376252
2,-1.0,0.30063291139240506,0.2860825882284702,0.28393760714076155,1.0075544099610774
2,-1.0,0.3284810126582279,0.3420360909315127,0.3389771425907709,1.0090240548886646
2,-1.0,0.35632911392405064,0.4031278959556282,0.39888939345285335,1.010625758850306
2,-1.0,0.3841772151898734,0.4694053841049174,0.4636743597270091,1.0123600200392415
2,-1.0,0.41202531645569623,0.5409199580295998,0.5333320414132382,1.01422737811937
2,-1.0,0.439873417721519,0.6177270820922358,0.6078624385115405,1.0162284144499052
2,-1.0,0.4677215189873418,0.6998863253840834,0.6872655510219163,1.0183637523274676
2,-1.0,0.4955696202531646,0.7874614079249451,0.7715413789443649,1.0206340572457206
2,-1.0,0.5234177215189874,0.8805202500823445,0.8606899222788871,1.0230400371726809
2,-1.0,0.5512658227848102,0.9791350252483533,0.9547111810254827,1.0255824428458418
2,-1.0,0.579113924050633,1.083382215814925,1.0536051551841514,1.0282620680852395
2,-1.0,0.6069620253164558,1.193342672491152,1.1573718447548935,1.0310797501246252
2,-1.0,0.6348101265822785,1.3091016770084445,1.2660112497377083,1.0340363699609016
2,-1.0,0.6626582278481014,1.4307490082622685,1.3795233701325966,1.0371328527219863
2,-1.0,0.6905063291139242,1.5583790119417362,1.4979082059395585,1.040370168053287
2,-1.0,0.7183544303797469,1.692090673701054,1.621165757158593,1.0437493305229755
2,-1.0,0.7462025316455697,1.8319876959295782,1.749296023789701,1.0472714000462497
2,-1.0,0.7740506329113925,1.9781785781800139,1.8822990058328828,1.0509374823288005
2,-1.0,0.8018987341772154,2.13077670131714,2.020174703288138,1.0547487293296864
2,-1.0,0.8297468354430381,2.289900415452323,2.1629231161554654,1.0587063397438539
2,-1.0,0.8575949367088609,2.455673131732014,2.3105442444348667,1.0628115595045202
2,-1.0,0.8854430379746837,2.6282234180514203,2.463038088126341,1.0670656823056837
2,-1.0,0.9132911392405064,2.8076850987675868,2.6204046472298885,1.071470050144995
2,-1.0,0.9411392405063292,2.9941973584892163,2.78264392174551,1.0760260538872692
2,-1.0,0.9689873417721521,3.1879048500237266,2.9497559116732046,1.0807351338489006
